"ext_uri_pk","ext_ontology_req","ext_kind_req","ext_label","ext_parent_uri","ext_status","ext_notes","term_id_internal_req","map_strength","bridge_axiom","mapping_status","rationale"
"http://purl.obolibrary.org/obo/BFO_0000001","BFO","owl:Class","entity","(root)","active","seed v0; parent_uri blank (to avoid incorrect hierarchy assertions)","(none)","skos:noMatch","(blank)","proposed","Intentional gap recorded: no internal mapping committed yet for external term 'entity'. Keep in scope to make coverage gaps explicit; do not infer adoption."
"http://purl.obolibrary.org/obo/BFO_0000002","BFO","owl:Class","continuant","(tbd)","active","seed v0; parent_uri blank (to avoid incorrect hierarchy assertions)","a0:A0_0000001","skos:exactMatch","rdfs:subClassOf","proposed","A0_Continuant is facade anchor for BFO Continuant."
"http://purl.obolibrary.org/obo/BFO_0000003","BFO","owl:Class","occurrent","(tbd)","active","seed v0; parent_uri blank (to avoid incorrect hierarchy assertions)","a0:A0_0000002","skos:exactMatch","rdfs:subClassOf","proposed","A0_Occurrent is facade anchor for BFO Occurrent."
"http://purl.obolibrary.org/obo/BFO_0000031","BFO","owl:Class","generically dependent continuant","(tbd)","active","seed v0; parent_uri blank (to avoid incorrect hierarchy assertions)","a0:A0_0000006","skos:exactMatch","rdfs:subClassOf","proposed","A0_GDC is facade anchor for BFO GDC."
"http://purl.obolibrary.org/obo/BFO_0000020","BFO","owl:Class","specifically dependent continuant","(tbd)","active","seed v0; parent_uri blank (to avoid incorrect hierarchy assertions)","a0:A0_0000007","skos:exactMatch","rdfs:subClassOf","proposed","A0_SDC is facade anchor for BFO SDC."
"http://purl.obolibrary.org/obo/BFO_0000023","BFO","owl:Class","role","(tbd)","active","seed v0; parent_uri blank (to avoid incorrect hierarchy assertions)","a0:A0_0000005","skos:exactMatch","rdfs:subClassOf","proposed","A0_Role is facade anchor for BFO Role."
"http://purl.obolibrary.org/obo/IAO_0000030","IAO","owl:Class","information content entity","(tbd)","active","seed v0; parent_uri blank (to avoid incorrect hierarchy assertions)","a2:A2_0000001","skos:exactMatch","rdfs:subClassOf","proposed","A2_ICE is facade anchor for IAO ICE."
"http://purl.obolibrary.org/obo/IAO_0000033","IAO","owl:Class","directive information entity","(tbd)","active","seed v0; parent_uri blank (to avoid incorrect hierarchy assertions)","a2:A2_0000002","skos:exactMatch","rdfs:subClassOf","proposed","A2_Directive_IE is facade anchor for IAO Directive IE."
"http://purl.obolibrary.org/obo/IAO_0000033","IAO","owl:Class","directive information entity","(tbd)","active","seed v0; parent_uri blank (to avoid incorrect hierarchy assertions)","u4:U4_0000003","skos:closeMatch","(blank)","proposed","Control_Policy is a directive artefact (constraints/directives)."
"http://purl.obolibrary.org/obo/IAO_0000033","IAO","owl:Class","directive information entity","(tbd)","active","seed v0; parent_uri blank (to avoid incorrect hierarchy assertions)","u0:U0_0000188","skos:closeMatch","(blank)","proposed","Routing_Control_Policy is a directive artefact focused on routing constraints."
"http://purl.obolibrary.org/obo/IAO_0000104","IAO","owl:Class","plan specification","(tbd)","active","seed v0; parent_uri blank (to avoid incorrect hierarchy assertions)","u4:U4_0000007","skos:closeMatch","(blank)","proposed","Execution_Plan aligns to Plan Specification (directive plan artefact)."
"http://purl.obolibrary.org/obo/IAO_0000005","IAO","owl:Class","objective specification","(tbd)","active","seed v0; parent_uri blank (to avoid incorrect hierarchy assertions)","(none)","skos:noMatch","(blank)","proposed","Intentional gap recorded: no internal mapping committed yet for external term 'objective specification'. Keep in scope to make coverage gaps explicit; do not infer adoption."
"http://purl.obolibrary.org/obo/IAO_0000007","IAO","owl:Class","action specification","(tbd)","active","seed v0; parent_uri blank (to avoid incorrect hierarchy assertions)","u0:U0_0000185","skos:closeMatch","(blank)","proposed","Execution_Instruction_Specification aligns to Action Specification (directive for an action)."
"http://purl.obolibrary.org/obo/IAO_0000310","IAO","owl:Class","document","(tbd)","active","seed v0; parent_uri blank (to avoid incorrect hierarchy assertions)","u0:U0_0000032","skos:closeMatch","(blank)","proposed","Record is a persistable information artefact; close to Document (collection treated as whole)."
"http://purl.obolibrary.org/obo/IAO_0000088","IAO","owl:Class","report","(tbd)","active","seed v0; parent_uri blank (to avoid incorrect hierarchy assertions)","(none)","skos:noMatch","(blank)","proposed","Intentional gap recorded: no internal mapping committed yet for external term 'report'. Keep in scope to make coverage gaps explicit; do not infer adoption."
"http://purl.obolibrary.org/obo/IAO_0000027","IAO","owl:Class","data item","(tbd)","active","seed v0; parent_uri blank (to avoid incorrect hierarchy assertions)","(none)","skos:noMatch","(blank)","proposed","Intentional gap recorded: no internal mapping committed yet for external term 'data item'. Keep in scope to make coverage gaps explicit; do not infer adoption."
"http://purl.obolibrary.org/obo/IAO_0000109","IAO","owl:Class","measurement datum","(tbd)","active","seed v0; parent_uri blank (to avoid incorrect hierarchy assertions)","(none)","skos:noMatch","(blank)","proposed","Intentional gap recorded: no internal mapping committed yet for external term 'measurement datum'. Keep in scope to make coverage gaps explicit; do not infer adoption."
"http://purl.obolibrary.org/obo/IAO_0000032","IAO","owl:Class","scalar measurement datum","(tbd)","active","seed v0; parent_uri blank (to avoid incorrect hierarchy assertions)","(none)","skos:noMatch","(blank)","proposed","Intentional gap recorded: no internal mapping committed yet for external term 'scalar measurement datum'. Keep in scope to make coverage gaps explicit; do not infer adoption."
