artifact_id,artifact_type,produced_by_task_id,path,integrity_type,integrity_value,validation_status,validation_evidence,evidence_row_ids,notes
ART-BUILD-REPO-SKELETON-001,BUILD_ARTIFACT,BPL-00.1,repo-skeleton-proof/tree.txt,SHA256,1e9644fbdb2ff1b019d2da56e400b4c8645d6833c0dcb8388dae87966b4ec18f,DONE,repo_structure_verified_2026-03-06,,
ART-DOC-CID-SPEC-001,DOC,TASK-01.1,specs/identity_cid_uuidv7.md,SHA256,72d18ef86bea3ad376306aa57f83e0050065203c45e3b267f23d891b5d89215b,VERIFIED,review_signed_2026-03-06,EP-01,
ART-CODE-CID-LIB-001,CODE,TASK-01.2,src/cid.py,SHA256,f496784b265f413c91cb355e5ecf06199e037fec37c82d6beec7b45a10873615,VERIFIED,unittest_discover_ok_2026-03-06,EP-01,
ART-TEST-CID-LIB-001,TEST_OUTPUT,TASK-01.2,tests/test_cid.py,SHA256,3cb2724ce47a2f58bee2e8a55d524392d73d1ab5ac8ecc5e00c390d9e4059ea1,VERIFIED,unittest_discover_ok_2026-03-06,EP-01,
ART-DOC-LEDGER-API-001,DOC,TASK-02.1,specs/ledger_api_and_ordering.md,SHA256,3f7be37052f6a3bbddcf2782503d55b6fe1a596482b02e8503218fbf67e466c2,VERIFIED,review_signed_2026-03-06,EP-02,
ART-CODE-LEDGER-LIB-001,CODE,TASK-02.2,src/ledger.py,SHA256,773ef978df834b7348c17654bf5c91525fa5a8e8505fd2222ab6c851850706ad,VERIFIED,unittest_discover_ok_2026-03-06,EP-02,
ART-TEST-LEDGER-LIB-001,TEST_OUTPUT,TASK-02.2,tests/test_ledger.py,SHA256,fc87dac740e784e2fc994a5a435f1b2d65bb07b883fdad0972390b14a71e4063,VERIFIED,unittest_discover_ok_2026-03-06,EP-02,
ART-CODE-ISSUERPROOF-LIB-001,CODE,TASK-03.2,src/issuer_proof.py,SHA256,bd3bda9e605902ae0b0f4d862a66e66e0e39477b5941862435545d842594518c,DONE,unittest_discover_ok_2026-03-06,,
ART-TEST-ISSUERPROOF-LIB-001,TEST_OUTPUT,TASK-03.2,tests/test_issuer_proof.py,SHA256,11c78876752075403c1f1e58f5ca9f00b422349175c5c74d9cc00b5ad4dcb3c8,DONE,unittest_discover_ok_2026-03-06,,
ART-CODE-EVALUATOR-LIB-001,CODE,TASK-04.2,src/evaluator.py,SHA256,f43327f1b76f038cd98eb38a34341760a1c65d30cff2e80ce4ab9b56a2cdef89,DONE,unittest_discover_ok_2026-03-06,,
ART-TEST-EVALUATOR-LIB-001,TEST_OUTPUT,TASK-04.2,tests/test_evaluator.py,SHA256,cd7c171a7cd1862b8b6c57b1c3dae247cf2ccd460e7fa9b26eed97b7f794e076,DONE,unittest_discover_ok_2026-03-06,,
ART-SCHEMA-RELEASE-MANIFEST-001,SCHEMA,TASK-05.1,schemas/release_manifest.schema.json,SHA256,5043181750b6c823fa81727cc4961fd0331c116c7c5362afec8da165a6d72a36,VERIFIED,jsonschema_successful_2026-03-06,EP-03,
ART-SCHEMA-RUNTIME-LOAD-001,SCHEMA,TASK-05.1,schemas/runtime_load_manifest.schema.json,SHA256,6833998155cfd79d1acf55136c65445db1768ba4fb6a2c3e3fa3979a54a2ae3c,VERIFIED,jsonschema_successful_2026-03-06,EP-03,
ART-CODE-PACKAGER-001,CODE,TASK-05.2,tools/packager.py,SHA256,B590B25FBF9C6309EE431E584DBDAA128E3F99A3F9F40DBC795674A47F261BF5,VERIFIED,unittest_discover_ok_2026-03-06,EP-03,
ART-TEST-PACKAGER-001,TEST_OUTPUT,TASK-05.2,tests/test_packager.py,SHA256,75DE1520A5CBAFE3BEACC3072794E5FE11AF1542EBA03DB67A3273B7EC409A59,VERIFIED,unittest_discover_ok_2026-03-06,EP-03,
