"task_id","plan_item_id","bootstrap_task_id","task_name","status","owner","canonical_refs","evidence_row_ids","dependencies","input_refs","output_paths","validation_method","validation_evidence","notes"
"BPL-00.1","P1-001","","Create repository skeleton folders for specs, schemas, fixtures, tools, src, and tests","DONE","paul","","","","","./","existence_check","evidence/repo-skeleton-proof/tree.txt","IS-state at repo substrate"
"TASK-01.1","P1-002","BPL-01","Define CID minting spec","DONE","paul","","EP-01","","","specs/identity_cid_uuidv7.md","python tools/bootstrap_validate.py","review_signed_2026-03-06",""
"TASK-01.2","P1-002","BPL-01","Implement CID library","DONE","paul","","EP-01","TASK-01.1","specs/identity_cid_uuidv7.md","src/cid.py","python -m unittest tests.test_cid -v","unittest_discover_ok_2026-03-06",""
"TASK-02.1","P1-003","BPL-02","Define ledger API ordering rules","DONE","paul","","EP-02","","","specs/ledger_api_and_ordering.md","python tools/bootstrap_validate.py","review_signed_2026-03-06",""
"TASK-02.2","P1-003","BPL-02","Implement append-only ledger service with single-writer ordering authority","DONE","paul","","EP-02","TASK-02.1","specs/ledger_api_and_ordering.md","src/ledger.py","python -m unittest tests.test_ledger.TestLedger.test_deterministic_replay -v","unittest_discover_ok_2026-03-06",""
"TASK-03.1","P1-004","BPL-03","Define IssuerProof verification algorithm","DONE","paul","","EP-02","","","specs/issuerproof_v1.md","python -m unittest tests.test_issuer_proof.TestIssuerProof.test_verify_valid_proof -v","unittest_task031_verify_valid_proof_ok_2026-03-06","Spec validated via proof verification test linkage"
"TASK-03.2","P1-004","BPL-03","Implement IssuerProof verifier with negative tests","DONE","paul","","EP-02","TASK-03.1","specs/issuerproof_v1.md","src/issuer_proof.py","python -m unittest tests.test_issuer_proof -v","unittest_discover_ok_2026-03-06",""
"TASK-04.1","P1-005","BPL-04","Define evaluator boundary commit semantics","DONE","paul","","EP-04","","","specs/evaluator_boundary_v1.md","python -m unittest tests.test_evaluator.TestEvaluatorAndCommitAuthority.test_evaluate_stub_returns_valid_proof_structure -v","unittest_task041_evaluator_boundary_ok_2026-03-06","Boundary semantics validated via evaluator contract test linkage"
"TASK-04.2","P1-005","BPL-04","Implement evaluator stub with commit-boundary enforcement tests","DONE","paul","","EP-04","TASK-04.1","specs/evaluator_boundary_v1.md","src/evaluator.py","python -m unittest tests.test_evaluator -v","unittest_discover_ok_2026-03-06",""
"TASK-05.1","P1-006","BPL-05","Define release/load-manifest schemas with fixtures","DONE","paul","","EP-03","","","schemas/release_manifest.schema.json","python tools/bootstrap_validate.py","jsonschema_successful_2026-03-06",""
"TASK-05.2","P1-006","BPL-05","Implement packager manifest hash file-list emission","DONE","paul","","EP-03","TASK-05.1","schemas/release_manifest.schema.json","tools/packager.py","python -m unittest tests.test_packager -v","unittest_discover_ok_2026-03-06",""
"TASK-05.3","P1-006","BPL-05","Implement verifier loader rejection logic with tamper tests","DONE","paul","","EP-04","TASK-05.1","schemas/release_manifest.schema.json","src/loader.py","python -m unittest tests.test_loader -v","unittest_discover_ok_2026-03-06",""
"TASK-06.1","P1-007","BPL-06","Create minimal SupportOntologyRelease package payload","DONE","paul","","EP-05","TASK-05.2","","dist/SupportOntologyRelease-v0.1.0/SupportOntologyRelease-v0.1.0.tar.gz","python -m unittest tests.test_loader -v","loader_verified_2026-03-06",""
