"doc_id","plane","scope","doc_type","lifecycle_state","operational_role","path","effective_date","supersedes","replaced_by","notes"
"DOC-PLAN-INDEX","implementation","repo-planning","index","ACTIVE","ORIENTATION","bootstrap/plans/PLAN_INDEX.md","2026-03-08","","","Single entrypoint for planning orientation"
"DOC-PHASE1-EXEC","implementation","repo-execution","execution_plan","ACTIVE","ACTIVE_CONTROL","bootstrap/plans/phase1_execution_plan.md","2026-03-08","","","Authoritative execution-plan surface"
"DOC-PHASE1-PLAN-ITEMS","implementation","repo-execution","plan_items","ACTIVE","ACTIVE_CONTROL","bootstrap/plans/phase1_plan_items.csv","2026-03-08","","","Plan-item control surface"
"DOC-PHASE0-ALIGN","implementation","backlog-traceability","alignment_map","ACTIVE","REFERENCE","bootstrap/plans/inactive/reference/phase0_backlog_alignment.md","2026-03-07","","","Maps source backlogs to execution records"
"DOC-OF03-IMPL-PLAN","implementation","product-contract-translation","implementation_plan","SUPERSEDED","REFERENCE","bootstrap/plans/inactive/reference/of03_product_spec_implementation_plan.md","2026-03-08","","DOC-P2-FULL-SOLUTION","Predecessor implementation-plan surface for later successor work"
"DOC-SO-FULL-LAYER-BACKLOG","implementation","support-ontology","backlog","SUPERSEDED","REFERENCE","bootstrap/plans/inactive/reference/proposed_support_ontology_full_layer_backlog_v1.md","2026-03-08","","DOC-PHASE1-EXEC","Source backlog delivered through P1-015..P1-026"
"DOC-P1-019-DECOMP","implementation","support-ontology","decomposition","ARCHIVED","ARCHIVE","bootstrap/plans/archive/p1/p1_019_so_w3_execution_decomposition_v1.md","2026-03-09","","DOC-PHASE1-EXEC","Archived completed P1 decomposition record"
"DOC-P1-020-DECOMP","implementation","support-ontology","decomposition","ARCHIVED","ARCHIVE","bootstrap/plans/archive/p1/p1_020_so_w4_execution_decomposition_v1.md","2026-03-09","","DOC-PHASE1-EXEC","Archived completed P1 decomposition record"
"DOC-P1-021-DECOMP","implementation","support-ontology","decomposition","ARCHIVED","ARCHIVE","bootstrap/plans/archive/p1/p1_021_so_w5_execution_decomposition_v1.md","2026-03-09","","DOC-PHASE1-EXEC","Archived completed P1 decomposition record"
"DOC-P1-022-DECOMP","implementation","support-ontology","decomposition","ARCHIVED","ARCHIVE","bootstrap/plans/archive/p1/p1_022_so_w6_execution_decomposition_v1.md","2026-03-09","","DOC-PHASE1-EXEC","Archived completed P1 decomposition record"
"DOC-P1-023-DECOMP","implementation","support-ontology","decomposition","ARCHIVED","ARCHIVE","bootstrap/plans/archive/p1/p1_023_so_w7_execution_decomposition_v1.md","2026-03-09","","DOC-PHASE1-EXEC","Archived completed P1 decomposition record"
