"evidence_row_id","gate_criterion","canonical_refs","required_artifact","location","integrity","validation_method","validation_evidence","status","verification_owner","source_task_ids","notes"
"EP-01","Identity model specified and conforms","ID-001;ID-002","Identity spec + CID library","bootstrap/artifact_registry.csv","SHA256","review_plus_unit_tests","review_signed_2026-03-06+unittest_discover_ok_2026-03-06","VERIFIED","paul","TASK-01.1;TASK-01.2",""
"EP-02","Ledger ordering and determinism validated","LG-001;LG-002","Ledger API spec + replay tests","bootstrap/artifact_registry.csv","SHA256","deterministic_replay_test","review_signed_2026-03-06+unittest_discover_ok_2026-03-06","VERIFIED","paul","TASK-02.1;TASK-02.2",""
"EP-03","Packaging produces required release bundles","RT-001;RT-002","Packager + manifest schemas","bootstrap/artifact_registry.csv","SHA256","build_and_verify_digests","jsonschema_successful_2026-03-06+unittest_discover_ok_2026-03-06","VERIFIED","paul","TASK-05.1;TASK-05.2",""
"EP-04","Loader/verifier rejects tampering","RT-003","Loader rejection logic + tests","bootstrap/artifact_registry.csv","SHA256","negative_tamper_reject_tests","unittest_discover_ok_2026-03-06","VERIFIED","paul","TASK-05.3",""
"EP-05","Minimal releases produced (SupportOntologyRelease + SCR_TBox_Release)","RT-004","Release packages + loader verification","bootstrap/artifact_registry.csv","SHA256","install_load_verification","loader_verified_2026-03-06","VERIFIED","paul","TASK-06.1;TASK-06.2",""
"EP-09","Spec upgrade contract migration baseline is defined and pilot is reproducible","ontoForge_80;ontoForge_81;P1-009","Spec baseline + delta register + validation matrix + pilot report","specs/spec_upgrade/","SHA256","strict_validation_methods","spec_upgrade_wave1_verified_2026-03-06","VERIFIED","paul","TASK-09.1;TASK-09.2;TASK-09.3;TASK-09.4","Wave-1 baseline, delta, matrix, and pilot report completed with hash-bound artifacts"
"EP-10","Wave-2 migration baseline, deltas, validation matrix, and pilot are complete and reproducible","ontoForge_80;ontoForge_81;P1-010","Wave-2 baseline + delta register + validation matrix + pilot report","specs/spec_upgrade/","SHA256","strict_validation_methods","spec_upgrade_wave2_verified_2026-03-06","VERIFIED","paul","TASK-10.1;TASK-10.2;TASK-10.3;TASK-10.4","Wave-2 baseline, delta, matrix, and pilot completed with hash-bound artifacts"
"EP-11","Product contract translation outputs are defined for runtime mapping, event model, and boundary objects","ontoForge_03;ontoForge_02;ontoForge_04;P1-011","Runtime map + event model + boundary object spec","specs/","SHA256","strict_validation_methods","product_contract_translation_w1_verified_2026-03-07","VERIFIED","paul","TASK-11.1;TASK-11.2;TASK-11.3","W1 translation outputs complete and hash-bound across runtime mapping, event model, and boundary objects"
"EP-12","Boundary object schema and loader discipline enforce tenant-safe promotion chain","ontoForge_03;ontoForge_04;P1-012","Schema uplift + packager/loader enforcement + rejection tests","schemas/;src/;tools/;tests/","SHA256","strict_validation_methods","boundary_load_discipline_verified_2026-03-07","VERIFIED","paul","TASK-12.1;TASK-12.2;TASK-12.3;TASK-12.4","W5 completed with tenant-aware manifests, evidence prerequisites, dependency checks, and strict negative tests"
"EP-13","Runtime 1 support-ontology engine emits evidence-bound releases and loader-verifiable packages","ontoForge_03;ontoForge_02;ontoForge_04;P1-013","Runtime1 contract + engine + release package + loader verification tests","runtime/;dist/;tests/","SHA256","strict_validation_methods","runtime1_hardening_verified_2026-03-07","VERIFIED","paul","TASK-13.1;TASK-13.2;TASK-13.3;TASK-13.4","W2 complete with Runtime 1 release-candidate evaluation outputs and evidence-bound SupportOntologyRelease package"
"EP-14","Support ontology tooling is deterministic-capable, schema-gated, and promotion-governed","ontoForge_03;ontoForge_04;P1-014","Deterministic build mode + schema gate + promotion decision + hardening addendum","runtime/;tools/;dist/;specs/","SHA256","strict_validation_methods","runtime1_done_and_dusted_verified_2026-03-07","VERIFIED","paul","TASK-14.1;TASK-14.2;TASK-14.3","Runtime 1 hardening complete for support ontology solution before downstream pipeline expansion"
"EP-15","SO-W0 protocol activation is complete for ttl admission governance boundary and readiness controls","ontoForge_01;ontoForge_02;ontoForge_03;ontoForge_04;P1-015","TTL inventory + admission register + governance model + external ontology policy + identifier and MVP boundary","specs/","SHA256","strict_validation_methods","support_ontology_protocol_activation_w0_verified_2026-03-07","VERIFIED","paul","TASK-15.1;TASK-15.2;TASK-15.3;TASK-15.4;TASK-15.5","SO-W0 complete: ttl inventory/admission, governance model, external ontology policy, and identifier-mvp boundary all DONE with strict validation."
"EP-16","SO-W1 release composition contract is defined and runtime payload transition controls are specified","ontoForge_03;ontoForge_04;P1-016","Release composition + namespace/import policy + runtime1 payload contract","specs/","SHA256","strict_validation_methods","support_ontology_release_composition_w1_verified_2026-03-07","VERIFIED","paul","TASK-16.1;TASK-16.2;TASK-16.3","SO-W1 complete: composition, namespace/import policy, and runtime1 payload contract all DONE with strict validation."
"EP-17","SO-W2 lifecycle and invariant support contracts are defined with explicit machine-form allocation","ontoForge_02;ontoForge_03;ontoForge_04;P1-017","CSC stage model + invariant taxonomy model + machine contract map","specs/","SHA256","strict_validation_methods","support_ontology_machine_contracts_w2_verified_2026-03-07","VERIFIED","paul","TASK-17.1;TASK-17.2;TASK-17.3","SO-W2 complete: CSC stage model, invariant taxonomy, and machine contract allocation all DONE with explicit ontology/SHACL/validator placement."
"EP-18","Support ontology execution program is registered and addendum-aligned repo corrections are decomposed for boundary-safe execution","ontoForge_02;ontoForge_03;ontoForge_04;P1-018","Execution program + admin refresh + boundary translation refresh + Runtime1/loader correction tasks","bootstrap/plans/;specs/;runtime/;src/","SHA256","strict_validation_methods","support_execution_addendum_alignment_verified_2026-03-07","VERIFIED","paul","TASK-18.1;TASK-18.2;TASK-18.3;TASK-18.4;TASK-18.5","Execution-control gate for addendum-aware progression from SO-W2 closure into Runtime 1 and Runtime 3 boundary corrections."
"EP-19","SO-W3 compiler vocabulary subset is defined with explicit Runtime-2 boundary scope and cross-model consistency.","ontoForge_02;ontoForge_03;ontoForge_04;P1-019","SO-W3 decomposition + authority model + operation model + target/scope/action/effect model + integration review","bootstrap/plans/;specs/","SHA256","strict_validation_methods","support_ontology_w3_compiler_vocab_review_completed_2026-03-07+bootstrap_validate_strict_2026-03-07","VERIFIED","paul","TASK-19.1;TASK-19.2;TASK-19.3;TASK-19.4;TASK-19.5","SO-W3 gate for Runtime-2-relevant semantic vocabulary closure before SO-W4 compiler contract baseline work."
"EP-20","SO-W4 compiler contract baseline is defined with explicit tenant input, compiled output, and admissibility matrix semantics.","ontoForge_02;ontoForge_03;ontoForge_04;P1-020","SO-W4 decomposition + tenant workflow input contract + compiled control primitive contract + admissibility matrix + integration review","bootstrap/plans/;specs/","SHA256","strict_validation_methods","runtime2_compiler_contract_baseline_review_completed_2026-03-07+bootstrap_validate_strict_2026-03-07","VERIFIED","paul","TASK-20.1;TASK-20.2;TASK-20.3;TASK-20.4;TASK-20.5","SO-W4 gate for Runtime-2 compiler contract baseline closure before SO-W5 validation gate design."
